n,Y,N
964:,3413,6587
965:,3479,6521
966:,3455,6545
967:,3402,6598
968:,3516,6484
969:,3495,6505
970:,3465,6535
971:,3425,6575
972:,3447,6553
973:,3398,6602
974:,3407,6593
975:,3418,6582
976:,3451,6549
977:,3424,6576
978:,3421,6579
979:,3397,6603
980:,3412,6588
981:,3398,6602
982:,3330,6670
983:,3346,6654
984:,3304,6696
985:,3380,6620
986:,3367,6633
987:,3367,6633
988:,3412,6588
989:,3382,6618
990:,3321,6679
991:,3340,6660
992:,3349,6651
993:,3381,6619
994:,3316,6684
995:,3431,6569
996:,3391,6609
997:,3349,6651
998:,3398,6602
999:,3274,6726
